X	CH1	CH2
0.000664	-0.176	0.8
0.000668	-0.232	1.44
0.000672	-0.248	1.84
0.000676	-0.224	1.92
0.00068	-0.176	1.84
0.000684	-0.0879	1.52
0.000688	0	0.96
0.000692	0.104	0.16
0.000696	0.192	-0.72
0.0007	0.232	-1.36
0.000704	0.272	-1.84
0.000708	0.256	-2
0.000712	0.224	-2
0.000716	0.152	-1.84
0.00072	0.056	-1.36
0.000724	-0.04	-0.48
0.000728	-0.128	0.32
0.000732	-0.2	1.04
0.000736	-0.248	1.6
0.00074	-0.24	1.84
0.000744	-0.208	1.92
0.000748	-0.136	1.76
0.000752	-0.056	1.44
0.000756	0.032	0.72
0.00076	0.128	-0.16
0.000764	0.208	-0.96
0.000768	0.256	-1.52
0.000772	0.272	-1.84
0.000776	0.256	-2
0.00078	0.2	-2
0.000784	0.12	-1.76
0.000788	0.016	-1.12
0.000792	-0.072	-0.24
0.000796	-0.152	0.56
0.0008	-0.224	1.2
0.000804	-0.24	1.68
0.000808	-0.24	1.92
0.000812	-0.192	1.84
0.000816	-0.12	1.76
0.00082	-0.024	1.2
0.000824	0.072	0.48
0.000828	0.152	-0.4
0.000832	0.224	-1.12
0.000836	0.256	-1.68
0.00084	0.272	-2
0.000844	0.24	-2
0.000848	0.184	-1.92
0.000852	0.096	-1.52
0.000856	-0.008	-0.72
0.00086	-0.104	0.0799
0.000864	-0.184	0.8
0.000868	-0.232	1.44
0.000872	-0.248	1.76
0.000876	-0.224	2
0.00088	-0.176	1.84
0.000884	-0.0879	1.52
0.000888	0.008	0.88
0.000892	0.104	0.16
0.000896	0.192	-0.72
0.0009	0.24	-1.36
0.000904	0.272	-1.76
0.000908	0.256	-2
0.000912	0.224	-2
0.000916	0.144	-1.84
0.00092	0.064	-1.36
0.000924	-0.04	-0.56
0.000928	-0.128	0.32
0.000932	-0.2	1.12
0.000936	-0.24	1.52
0.00094	-0.248	1.84
0.000944	-0.216	1.92
0.000948	-0.144	1.84
0.000952	-0.064	1.44
0.000956	0.04	0.72
0.00096	0.12	-0.16
0.000964	0.216	-0.96
0.000968	0.248	-1.52
0.000972	0.272	-1.92
0.000976	0.248	-2
0.00098	0.2	-2
0.000984	0.12	-1.68
0.000988	0.016	-1.12
0.000992	-0.072	-0.24
0.000996	-0.16	0.56
0.001	-0.216	1.2
0.001004	-0.248	1.76
0.001008	-0.232	1.92
0.001012	-0.2	1.92
0.001016	-0.12	1.76
0.00102	-0.024	1.2
0.001024	0.0799	0.4
0.001028	0.16	-0.48
0.001032	0.224	-1.12
0.001036	0.264	-1.76
0.00104	0.264	-2
0.001044	0.232	-2
0.001048	0.176	-1.92
0.001052	0.0879	-1.52
0.001056	-0.008	-0.8
0.00106	-0.104	0.0799
0.001064	-0.184	0.8
0.001068	-0.224	1.44
0.001072	-0.248	1.76
0.001076	-0.224	1.92
0.00108	-0.168	1.84
0.001084	-0.0879	1.68
0.001088	0	0.96
0.001092	0.104	0.16
0.001096	0.192	-0.72
0.0011	0.24	-1.36
0.001104	0.272	-1.84
0.001108	0.256	-2
0.001112	0.216	-2
